id	text	count
Au4A2B2Y 29922	Au4A2B2Y AS::A6 55 TFSI quattro S tronic	42
Au4A2B2Y 29922	Au4A2B2Y ILSA::A6 Sport 55 TFSI quattro S tronic	42
Au4A2B2Y 29925	Au4A2B2Y AS::A6 Sport	42
Au4A2B2Y 29925	Au4A2B2Y ILSA::A6 Sport 55 TFSI quattro S tronic	42
Au4A2B2Y 29970	Au4A2B2Y AS::A6 Priority Sport plus	42
Au4A2B2Y 29970	Au4A2B2Y ILSA::A6 Sport 55 TFSI quattro S tronic	42
Au4A2B2Y 29971	Au4A2B2Y AS::A6 Priority Sport	42
Au4A2B2Y 29971	Au4A2B2Y ILSA::A6 Sport 55 TFSI quattro S tronic	42
Au4A2C2Y 29922	Au4A2C2Y AS::A6 55 TFSI quattro S tronic	39
Au4A2C2Y 29922	Au4A2C2Y ILSA::A6 Design 55 TFSI quattro S tronic	39
Au4A2C2Y 29924	Au4A2C2Y AS::A6 Design	39
Au4A2C2Y 29924	Au4A2C2Y ILSA::A6 Design 55 TFSI quattro S tronic	39
Au4A2C2Y 29972	Au4A2C2Y AS::A6 Priority Design plus	39
Au4A2C2Y 29972	Au4A2C2Y ILSA::A6 Design 55 TFSI quattro S tronic	39
Au4A2C2Y 29973	Au4A2C2Y AS::A6 Priority Design	39
Au4A2C2Y 29973	Au4A2C2Y ILSA::A6 Design 55 TFSI quattro S tronic	39
Au4MN0X2 29929	Au4MN0X2 AS::Q8 55 TFSI quattro tiptronic	196
Au4MN0X2 29929	Au4MN0X2 ILSA::Q8 55 TFSI quattro tiptronic	196
BM1R91 25383	BM1R91 AS::1_Series M140i xDrive	1
BM1R91 25383	BM1R91 ILSA::1_серия M140i xDrive 5dr	1
BM2F31 1791	BM2F31 AS::2_Series 220i	1
BM2F31 1791	BM2F31 ILSA::2_серия 220i Coupe	1
BM2F31 25151	BM2F31 AS::2_Series 220i Advantage	1
BM2F31 25151	BM2F31 ILSA::2_серия 220i Coupe	1
BM2F31 25152	BM2F31 AS::2_Series 220i Sport Line	1
BM2F31 25152	BM2F31 ILSA::2_серия 220i Coupe	1
BM2F31 25153	BM2F31 AS::2_Series 220i Luxury Line 	1
BM2F31 25153	BM2F31 ILSA::2_серия 220i Coupe	1
BM2F31 25154	BM2F31 AS::2_Series 220i M Sport 	1
BM2F31 25154	BM2F31 ILSA::2_серия 220i Coupe	1
BMCW01 29919	BMCW01 AS::X7 M50d	13
BMCW01 29919	BMCW01 ILSA::X7 M50d	13
BMCW81 29915	BMCW81 AS::X7 xDrive30d	17
BMCW81 29915	BMCW81 ILSA::X7 xDrive30d	17
BMCW81 29920	BMCW81 AS::X7 xDrive30d Pure Excellence	17
BMCW81 29920	BMCW81 ILSA::X7 xDrive30d	17
BMCW81 29921	BMCW81 AS::X7 xDrive30d M Sport	17
BMCW81 29921	BMCW81 ILSA::X7 xDrive30d	17
BMHF11 29801	BMHF11 AS::Z4 sDrive20i	1
BMHF11 29801	BMHF11 ILSA::Z4 sDrive20i	1
BMHF11 29802	BMHF11 AS::Z4 sDrive20i Sport Line	1
BMHF11 29802	BMHF11 ILSA::Z4 sDrive20i	1
BMHF11 29803	BMHF11 AS::Z4 sDrive20i M Sport	1
BMHF11 29803	BMHF11 ILSA::Z4 sDrive20i	1
BMHF31 29800	BMHF31 AS::Z4 sDrive30i M Sport	1
BMHF31 29800	BMHF31 ILSA::Z4 sDrive30i	1
Ce1.6CVT-Luxury-2WD 26011	Ce1.6CVT-Luxury-2WD AS::Tiggo_3 Luxury CVT	1
