id	text	count
1	as long as you're both paying attention, and are both good enough to work here.	59
2	this is a good thing.	59
3	good news is, it's treatable with medication.	59
4	good afternoon, cedarville! it is my distinct honor to present our annual community service award to one of our most outstanding citizens.	59
5	good thing you made it all official.	59
6	it's good to see you in the hospital, as a patient if not as a doctor.	59
7	right now's not a good time, house.	59
8	goes to school and makes good grades.	59
9	oh, my goodness, it is! hi, dean foreman! are you not gonna introduce us because we're married?	59
10	my leg is no good at judging time.	59
11	good for you! you loon.	59
12	at least as good as the other 12 times that i've called and paged you in the last three weeks.	59
13	it's a good bet that it's medically relevant.	59
14	but that'll destroy the good lung too.	59
15	it's not looking good for fahr's either.	59
16	you're about to withdraw from the world for good.	59
17	you take very good care of him.	59
18	good to see you on your feet.	59
19	well, i guess that's good enough for prison work.	59
20	it's for his own good.	59
21	good things usually happen; bad things sometimes happen.	59
22	i heard about a good new vegetarian place.	59
23	looks like we got ourselves a good, ol'-fashioned cat fight.	59
24	the good news is, made me realize that you were right.	59
25	we just need to get a good look at the rash.	59
26	it just wouldn't be good for my health.	59
27	you shouldn't run from what can still be a good life.	59
28	good things usually happen.	59
29	it's a good thing that worked.	59
30	it's just good to hear your voice.	59
31	i think he actually has a good point.	59
32	seems to have done you some good.	59
33	i gave you a good recommendation.	59
34	sounds like a good plan.	59
35	for every good memory, there's a slew of bad ones.	59
36	so you guys are trying to manipulate me by playing good cop/good cop?	59
37	capillary refill's good.	59
38	it was good enough for my dad.	59
39	which is good news for you.	59
40	it's good for a couple to share a hobby.	59
41	at the time, it seemed like a good idea.	59
42	ben, i-i don't think that's a good idea.	59
43	how do you expect to get into a good college?	59
44	then it's a good thing he has a.	59
45	what about the good stuff?	59
46	most good doctors are weird.	59
47	the good news is the poison didn't come from your wife.	59
48	everything looks good.	59
49	you think it's a good idea for me to go right back to my old life?	59
50	why exactly is that good for you?	59
51	good chance i'd find the two of you in the same cage.	59
52	you're really not good at reading people, are you?	59
53	you are a good man who made a mistake.	59
54	they scraped and borrowed so we could go to good schools, and i worked my ass off.	59
55	oh, you're good, just like lupus boy will be when you start him on prednisone.	59
56	there are a lot of good administrators out there, not many good doctors.	59
57	he's in togood of shape.	59
58	he told me had a few glasses of wine, and that he shouldn't do it, but he also said that you were good.	59
59	it's not a good thing, 'cause it's not a thing.	59
60	does this look like a good time?	59
61	could he know i'm good with a gun?	59
62	you think you can restore the cosmic balance by doing extra good here.	59
63	i guess i'm supposed to be the good cop.	59
64	my father keeps up a good front, but he's just like emory.	59
65	i think you're a good person and a fine doctor, but it's ridiculous to think anyone needs an arsenal of assault weapons.	59
66	took real good care of himself.	59
67	maybe he found out about her good friend.	59
68	and this time, a land war in russia will be a good idea.	59
69	which is a good thing, because neither gad nor systemic infection would cause anaphylaxis or tracheal edema.	59
70	arterial pulse is good.	59
71	it was for our own good, but i don't care.	59
72	i know i'm not any good at being a clown yet, but when i do get a laugh and see those kids' eyes light up, that's how my dad made me feel when i was a kid.	59
73	they were good parents.	59
74	saving one life is good.	59
75	i may be a little out of bounds here, but in case there are complications, it might be a good time to come clean to your son, let his father visit.	59
76	in the meantime, there's no way a do-gooder like you has been volunteering all over town-- ladling kittens, spaying soup.	59
77	yeah, well, it's probably not a good idea, you know, with us working together.	59
78	you're not working for house anymore, which means you no longer have him to blame if you get caught.	31
79	means it's not zollinger-ellison.	31
80	it means we were wrong about lead.	31
81	orange means mercury.	31
82	which means he's both irascible and stupid.	31
83	just 'cause it wasn't a tumor doesn't mean it didn't mess with the lungs.	31
84	i know, which means you can't go either.	31
85	does that mean you like your new life?	31
86	which means you proved nothing.	31
87	i mean, i want to feel like i've earned my hookers.	31
88	but i didn't mean physical stress.	31
89	and rust means arsenic.	31
90	the fact that you see that as inherently bad means you're an irrational patriot.	31
91	and what's brown mean?	31
92	that would mean that every symptom after his t.i.a. was a coincidence.	31
93	although he can't take on any new clients right now, he's trying to get mean audition for one of those online soaps.	31
94	i'm sure it would mean a lot to him to see you.	31
95	it means you don't have to make that drive.	31
96	he means it's better to do it here where we can revive him than have it happen somewhere else.	31
97	i never meant to hurt my daughter.	31
98	means we have to explain the arrival and the departure.	31
99	left-sided pain means it could be angina, which is made worse by stress.	31
100	you do understand the meaning of the word confirm.	31
101	your shoes-- a different, expensive pair every day, but never leather, which means you're both rich and liberal.	31
102	it means he's not paranoid, is an idiot, and was poisoned.	31
103	osler scarf-- only on fridays, which means you did your residency at hopkins, which means you're smarter than our interactions would so far indicate.	31
104	and if i find a hole in the cartilage of his nose, right about here, then it means i'm right.	31
105	either your relationship just blows up like every other non-magical romance, or she stays with you but blames you for stripping all the meaning out of her life.	31
106	blue veil means you're a postulant, haven't taken your vows yet.	31
107	and since there's no way that you're doing her without me knowing, it means you were just doing her shampoo.	31
108	that doesn't mean i have a problem.	31
109	if foreman had called you in from home, you wouldn't have pressed clothes, coiffed hair, and makeup, which means you were already here in the hospital.	31
110	sorry, we got to make it a fair fight, which means you're stuck with her.	31
111	brown vestments means you're carmelites, cloistered nuns, which explains the chaperone.	31
112	what the hell does that mean?	31
113	and i mean that metaphorically, of course.	31
114	means you could stroke.	31
115	well, if it's not meaningless sex, kinda screams out for an end game.	31
116	which means i wouldn't be preparing for their visit this week by child locking all my cabinets, padding table corners, and getting rid of every single magazine.	31
117	i'd call you idiots again, but at this point i'm starting to doubt whether you understand what i mean by the word.	31
118	which means you're not just a reject, you're a cowardly reject who was trying to hide her rejectedness from someone.	31
119	the risk is 1 in 4,000 i could die during surgery, which means, if i don't donate, i'm valuing my life at 4,000 times someone else's.	31
120	i guess, i mean-- yes, technically, i was thinking.	31
121	ooh, i mean, that's pricy, but it can be done.	31
122	and by you, i mean me.	31
123	if we increase the steroids, then either death comes slower, which means we were too late with the gad, or death comes faster, which means we were too stupid with the infection.	31
124	which means you're both idiots.	31
125	it means i've got to spend more time consulting with a colleague.	31
126	and i knew that meant making certain sacrifices.	31
127	means this donation was given under duress.	31
128	yes, we knew what kawah meant.	31
129	well, when someone asks if you want coffee, they obviously don't just mean coffee.	31
130	now there's something to cure, which means there's something to be disproportionately financially grateful for.	31
131	that means low self-esteem.	31
132	which means that foreman signed off on it, which means that he set all the wheels in motion.	31
133	the facts say you should be suspended, which, from what i understand, would mean a revocation of your parole.	31
134	i just mean the part about the odds of it happening.	31
135	no, i meant, what was it?	31
136	which means that you're hanging out in the hospital pretending to work.	31
137	y-you mean the treatment will, um.	31
138	you mean all of us or just us?	31
139	which means he goes home.	31
140	we're gonna fundamentally disagree about what it means to read too much into this.	31
141	he didn't realize sharing a cell also meant sharing the air?	31
142	which means you didn't prove that i have a gun.	31
143	which means it's too late for me to back down.	31
144	the only way that has any meaning is if we fix the lungs and transplant them.	31
145	which means you were out late drinking with some new girl or because there is no new girl.	31
146	the test is designed to determine if you're-- no, i mean your running a test and discharging me.	31
147	means we're wrong about infection.	31
148	it probably doesn't mean anything, but we want to make sure.	31
149	that'd mean the damage was permanent.	31
150	and by money, you mean all your money.	31
151	it means he's got a tumor.	31
152	i mean, in the guest room.	31
153	and mom's determination to keep dad away, even as her kid gets sicker and sicker, means she's got more to hide.	31
154	i mean, do you think my father would have done that for ten minutes?	31
155	other than the fact that loyalty is the basis of all meaningful relationships.	31
156	one dead lobe means four alive ones.	31
157	does that mean you also have it?	31
158	his fever's going through the roof, which means we were wrong about gad and the steroids kicked the infection into high gear.	31
159	and i do mean rule out.	31
160	but you know that, which means.	31
161	i mean, what am i supposed to do?	31
162	when you say your boyfriend hit you, it means you actually hit yourself.	31
163	he means it's not lemierre's, but it's still an infection, which is why it's spreading so rapidly.	31
164	tertiary syphilis means you've had the disease for at least that long.	31
165	which means not family.	31
166	the way galaxies rotate, the motion of the universe, it means there's six times more stuff than we can detect.	31
167	which doesn't mean he's not still sick.	31
168	i mean, i hope to god i never have to use one.	31
169	which means he wasn't really hurt.	31
170	which means it's also safe to assume that he trusts you.	31
171	that doesn't mean you couldn't get angry.	31
172	i mean, not-- not really.	31
173	which means your initial diagnosis could still be right.	31
174	and this means a lot to me.	31
175	i mean, even if you are right about it, why take your word over mine?	31
176	i mean, he's constantly reminded of her.	31
177	meanwhile, he's keeping you here searching for a plan that doesn't even exist.	31
178	you were the residency director at hopkins before you moved to mercy, which means it's safe to assume that you trained foreman.	31
179	we got the patient's eye back in place with steroid injections, but a bulging eyeball means it's not a liver problem.	31
180	you mean like we should be more optimistic?	31
181	it means enough to transplant with a side order of dead tissue that we can test.	31
182	it's a family heirloom, which means old money.	31
183	that means he didn't get in trouble for drinking.	31
184	i mean, he was closer to callie than i was, and i missed him.	31
185	he has alzheimer's! it's freezing outside, and he's sick! i mean, you don't even know what it is yet, do you?	31
186	and by we, you mean you.	31
187	yeah, i paged you, which means you're next.	31
188	i mean, you'll escalate, and then i'll retaliate, and the cycle will continue until we've both gone too far, at which point, i'll.	31
189	neither of us is ready to give up on the marriage.	28
190	now that happened either because dr.	28
191	either we figure out what's wrong with this guy, or we figure out how to make this company profitable in new jersey.	28
192	the only people who don't want it are either sick, dead, or lying.	28
193	oh, we kiss and cuddle, but neither one of us is interested in sex.	28
194	well, i'd take me if either of us could.	28
195	neither of you stepped out between periods, get beer, pick up a pizza?	28
196	either way, we don't get his temperature above 95, it's not going to matter.	28
197	i gather from the silence that either you all agree with chase or you're just staring at his emasculated brow.	28
198	she has to either dump him or forgive him.	28
199	it's either gotta be his cell or his work station.	28
200	and you ain't gonna rat me out neither, 'cause you don't wanna get a snitch jacket and wind up shanked in the showers.	28
201	how could i comprehend that you're too despised to keep them from having the same name, too overwhelmed to remember your own calendar, and too vain to admit that at this stage, you don't matter to either baby.	28
202	in either case, test for hiv and do an mri to rule out tumors.	28
203	so it's either not sclerosis or it's extremely aggressive sclerosis.	28
204	you're trying to make sure she's either perfect or dead.	28
205	and neither should you.	28
206	he doesn't test positive for that either.	28
207	i don't blame either one.	28
208	so either you're so insecure that you feel like you need to always have the upper hand, or you're so arrogant that the notion of a favor is insulting to you.	28
209	either way, it's more interesting than whatever you're doing now.	28
210	and that haircut isn't helping, either.	28
211	with neurological symptoms progressing this fast, he's dead either way.	28
212	tularemia doesn't always show up in blood work either.	28
213	either a hot tub or a sauna.	28
214	your pants are a size too short, so either you grew a couple of inches or you grabbed the closest size in a thrift store.	28
215	either way, i'm covered.	28
216	you can't, and neither can i.	28
217	you're either preparing to fight pacquiao or you're having one heck of a bad day.	28
218	and neither has the job, right?	28
219	she's not drinking the coffee either.	28
220	either you're getting her gifts because you want her to like you, in which case i don't like you, or you're getting her gifts to screw with her.	28
221	neither have you-- analyze it however you like.	28
222	which is why you're not gonna live there either.	28
223	because no matter how much you wanted to believe in this chaste romance, you didn't buy it either.	28
224	we're treating you for an overactive thyroid.	21
225	i treated an inmate once with similar symptoms after he tried to poison his cellmate with chlorine gas.	21
226	you have a dead patient?	21
227	how do we treat chemical burns inside the lungs without killing the patient?	21
228	an untreated schizoid disorder he's finally lost the ability to suppress.	21
229	and you can tell taub that he's gonna get the same treatment as this heavy bag if he doesn't cut this crap out.	21
230	now that we know what it is, he'll need treatment, but he'll live.	21
231	how can he not be dead?	21
