id	text	count
1h	Friends	500000 
1t	S01	5000
2t	S01	5000
3t	S01	5000
4t	S01	5000
5t	S01	5000
6t	S01	5000
7t	S01	5000
8t	S01	5000
9t	S01	5000
10t	S01	5000
11t	S01	5000
12t	S01	5000
13t	S01	5000
14t	S01	5000
15t	S01	5000
16t	S01	5000
17t	S01	5000
18t	S01	5000
19t	S01	5000
20t	S01	5000
21t	S01	5000
22t	S01	5000
23t	S01	5000
24t	S02	5000
25t	S02	5000
26t	S02	5000
27t	S02	5000
28t	S02	5000
29t	S02	5000
30t	S02	5000
31t	S02	5000
32t	S02	5000
33t	S02	5000
34t	S02	5000
35t	S02	5000
36t	S02	5000
37t	S02	5000
38t	S02	5000
39t	S02	5000
40t	S02	5000
41t	S02	5000
42t	S02	5000
43t	S02	5000
44t	S02	5000
45t	S02	5000
46t	S02	5000
47t	S02	5000
48t	S03	5000
49t	S03	5000
50t	S03	5000
51t	S03	5000
52t	S03	5000
53t	S03	5000
54t	S03	5000
55t	S03	5000
56t	S03	5000
57t	S03	5000
58t	S03	5000
59t	S03	5000
60t	S03	5000
61t	S03	5000
62t	S03	5000
63t	S03	5000
64t	S03	5000
65t	S03	5000
66t	S03	5000
67t	S03	5000
68t	S03	5000
69t	S03	5000
70t	S03	5000
71t	S03	5000
72t	S03	5000
73t	S04	5000
74t	S04	5000
75t	S04	5000
76t	S04	5000
77t	S04	5000
78t	S04	5000
79t	S04	5000
80t	S04	5000
81t	S04	5000
82t	S04	5000
83t	S04	5000
84t	S04	5000
85t	S04	5000
86t	S04	5000
87t	S04	5000
88t	S04	5000
89t	S04	5000
90t	S04	5000
91t	S04	5000
92t	S04	5000
93t	S04	5000
94t	S04	5000
95t	S04	5000
96t	S04	5000
97t	S05	5000
98t	S05	5000
99t	S05	5000
100t	S05	5000
101t	S05	5000
102t	S05	5000
103t	S05	5000
104t	S05	5000
105t	S05	5000
106t	S05	5000
107t	S05	5000
108t	S05	5000
109t	S05	5000
110t	S05	5000
111t	S05	5000
112t	S05	5000
113t	S05	5000
114t	S05	5000
115t	S05	5000
116t	S05	5000
117t	S05	5000
118t	S05	5000
119t	S05	5000
120t	S05	5000
121t	S06	5000
122t	S06	5000
123t	S06	5000
124t	S06	5000
125t	S06	5000
126t	S06	5000
127t	S06	5000
128t	S06	5000
129t	S06	5000
130t	S06	5000
131t	S06	5000
132t	S06	5000
133t	S06	5000
134t	S06	5000
135t	S06	5000
136t	S06	5000
137t	S06	5000
138t	S06	5000
139t	S06	5000
140t	S06	5000
141t	S06	5000
142t	S06	5000
143t	S06	5000
144t	S06	5000
145t	S06	5000
146t	S07	5000
147t	S07	5000
148t	S07	5000
149t	S07	5000
150t	S07	5000
151t	S07	5000
152t	S07	5000
153t	S07	5000
154t	S07	5000
155t	S07	5000
156t	S07	5000
157t	S07	5000
158t	S07	5000
159t	S07	5000
160t	S07	5000
161t	S07	5000
162t	S07	5000
163t	S07	5000
164t	S07	5000
165t	S07	5000
166t	S07	5000
167t	S07	5000
168t	S07	5000
169t	S07	5000
170t	S08	5000
171t	S08	5000
172t	S08	5000
173t	S08	5000
174t	S08	5000
175t	S08	5000
176t	S08	5000
177t	S08	5000
178t	S08	5000
179t	S08	5000
180t	S08	5000
181t	S08	5000
182t	S08	5000
183t	S08	5000
184t	S08	5000
185t	S08	5000
186t	S08	5000
187t	S08	5000
188t	S08	5000
189t	S08	5000
190t	S08	5000
191t	S08	5000
192t	S08	5000
193t	S08	5000
194t	S09	5000
195t	S09	5000
196t	S09	5000
197t	S09	5000
198t	S09	5000
199t	S09	5000
200t	S09	5000
201t	S09	5000
202t	S09	5000
203t	S09	5000
204t	S09	5000
205t	S09	5000
206t	S09	5000
207t	S09	5000
208t	S09	5000
209t	S09	5000
210t	S09	5000
211t	S09	5000
212t	S09	5000
213t	S09	5000
214t	S09	5000
215t	S09	5000
216t	S09	5000
217t	S10	5000
218t	S10	5000
219t	S10	5000
220t	S10	5000
221t	S10	5000
222t	S10	5000
223t	S10	5000
224t	S10	5000
225t	S10	5000
226t	S10	5000
227t	S10	5000
228t	S10	5000
229t	S10	5000
230t	S10	5000
231t	S10	5000
232t	S10	5000
233t	S10	5000
1	Friends S01 S01:E01_en[cc]_ru	123
2	Friends S01 S01:E03_en[cc]_ru	122
3	Friends S01 S01:E04_en[cc]_ru	121
4	Friends S01 S01:E05_en[cc]_ru	120
5	Friends S01 S01:E06_en[cc]_ru	119
6	Friends S01 S01:E07_en[cc]_ru	118
7	Friends S01 S01:E08_en[cc]_ru	117
8	Friends S01 S01:E09_en[cc]_ru	116
9	Friends S01 S01:E10_en[cc]_ru	115
10	Friends S01 S01:E11_en[cc]_ru	114
11	Friends S01 S01:E12_en[cc]_ru	113
12	Friends S01 S01:E13_en[cc]_ru	112
13	Friends S01 S01:E14_en[cc]_ru	111
14	Friends S01 S01:E15_en[cc]_ru	110
15	Friends S01 S01:E16_en[cc]_ru	109
16	Friends S01 S01:E17_en[cc]_ru	108
17	Friends S01 S01:E18_en[cc]_ru	107
18	Friends S01 S01:E19_en[cc]_ru	106
19	Friends S01 S01:E20_en[cc]_ru	105
20	Friends S01 S01:E21_en[cc]_ru	104
21	Friends S01 S01:E22_en[cc]_ru	103
22	Friends S01 S01:E23_en[cc]_ru	102
23	Friends S01 S01:E24_en[cc]_ru	101
24	Friends S02 S02:E01_en[cc]_ru	124
25	Friends S02 S02:E02_en[cc]_ru	123
26	Friends S02 S02:E03_en[cc]_ru	122
27	Friends S02 S02:E04_en[cc]_ru	121
28	Friends S02 S02:E05_en[cc]_ru	120
29	Friends S02 S02:E06_en[cc]_ru	119
30	Friends S02 S02:E07_en[cc]_ru	118
31	Friends S02 S02:E08_en[cc]_ru	117
32	Friends S02 S02:E09_en[cc]_ru	116
33	Friends S02 S02:E10_en[cc]_ru	115
34	Friends S02 S02:E11_en[cc]_ru	114
35	Friends S02 S02:E12_en[cc]_ru	113
36	Friends S02 S02:E13_en[cc]_ru	112
37	Friends S02 S02:E14_en[cc]_ru	111
38	Friends S02 S02:E15_en[cc]_ru	110
39	Friends S02 S02:E16_en[cc]_ru	109
40	Friends S02 S02:E17_en[cc]_ru	108
41	Friends S02 S02:E18_en[cc]_ru	107
42	Friends S02 S02:E19_en[cc]_ru	106
43	Friends S02 S02:E20_en[cc]_ru	105
44	Friends S02 S02:E21_en[cc]_ru	104
45	Friends S02 S02:E22_en[cc]_ru	103
46	Friends S02 S02:E23_en[cc]_ru	102
47	Friends S02 S02:E24_en[cc]_ru	101
