id	text	count
Au4MB0A1 1594	ILSA.Au4MB0A1 AS::Q7 3.0 TFSI quattro AS.1594	15
Au4MB0A1 1594	ILSA.Au4MB0A1 ILSA::Q7 55 TFSI quattro tiptronic AS.1594	15
Au4MB0A1 29928	ILSA.Au4MB0A1 AS::Q7 55 TFSI quattro tiptronic AS.29928	15
Au4MB0A1 29928	ILSA.Au4MB0A1 ILSA::Q7 55 TFSI quattro tiptronic AS.29928	15
Au4MB0J1 1590	ILSA.Au4MB0J1 AS::Q7 3.0 TDI quattro AS.1590	1120
Au4MB0J1 1590	ILSA.Au4MB0J1 ILSA::Q7 45 TDI quattro tiptronic AS.1590	1120
Au4MB0J1 29926	ILSA.Au4MB0J1 AS::Q7 45 TDI quattro tiptronic AS.29926	1120
Au4MB0J1 29926	ILSA.Au4MB0J1 ILSA::Q7 45 TDI quattro tiptronic AS.29926	1120
BM1T11 26175	ILSA.BM1T11 AS::1_Series 120d xDrive M Sport AS.26175	2
BM1T11 26175	ILSA.BM1T11 ILSA::1_серия 120d xDrive M Sport 5dr AS.26175	2
BM1T11 29067	ILSA.BM1T11 AS::1_Series 120d xDrive M Sport AS.29067	2
BM1T11 29067	ILSA.BM1T11 ILSA::1_серия 120d xDrive M Sport 5dr AS.29067	2
BM2H31 26459	ILSA.BM2H31 AS::2_Series 218i Advantage AS.26459	10
BM2H31 26459	ILSA.BM2H31 ILSA::2_серия 218i Coupe AS.26459	10
BM2H31 26460	ILSA.BM2H31 AS::2_Series 218i Sport Line AS.26460	10
BM2H31 26460	ILSA.BM2H31 ILSA::2_серия 218i Coupe AS.26460	10
BM2H31 26461	ILSA.BM2H31 AS::2_Series 218i Luxury Line AS.26461	10
BM2H31 26461	ILSA.BM2H31 ILSA::2_серия 218i Coupe AS.26461	10
BM2H31 26462	ILSA.BM2H31 AS::2_Series 218i M Sport AS.26462	10
BM2H31 26462	ILSA.BM2H31 ILSA::2_серия 218i Coupe AS.26462	10
BM2U31 26463	ILSA.BM2U31 AS::2_Series 220d xDrive M Sport AS.26463	6
BM2U31 26463	ILSA.BM2U31 ILSA::2_серия 220d xDrive Coupe AS.26463	6
BM2U31 29075	ILSA.BM2U31 AS::2_Series 220d xDrive M Sport AS.29075	6
BM2U31 29075	ILSA.BM2U31 ILSA::2_серия 220d xDrive Coupe AS.29075	6
BM6H31 1908	ILSA.BM6H31 AS::6_Series_Gran_Coupe 640i xDrive Coupe AS.1908	1
BM6H31 1908	ILSA.BM6H31 ILSA::6_серия 640i xDrive Coupe AS.1908	1
BM6H31 1920	ILSA.BM6H31 AS::6_Series_Coupe 640i xDrive Coupe AS.1920	1
BM6H31 1920	ILSA.BM6H31 ILSA::6_серия 640i xDrive Coupe AS.1920	1
BM6J31 1907	ILSA.BM6J31 AS::6_Series_Gran_Coupe 640d xDrive Coupe AS.1907	2
BM6J31 1907	ILSA.BM6J31 ILSA::6_серия 640d xDrive Coupe AS.1907	2
BM6J31 1915	ILSA.BM6J31 AS::6_Series_Coupe 640d xDrive Coupe AS.1915	2
BM6J31 1915	ILSA.BM6J31 ILSA::6_серия 640d xDrive Coupe AS.1915	2
BM6S11 26306	ILSA.BM6S11 AS::2_Series_Active_Tourer 218i Advantage AS.26306	33
BM6S11 26306	ILSA.BM6S11 ILSA::2_серия 218i Active Tourer Advantage AS.26306	33
BM6S11 26464	ILSA.BM6S11 AS::2_Series_Active_Tourer 218i Sport Line AS.26464	33
BM6S11 26464	ILSA.BM6S11 ILSA::2_серия 218i Active Tourer Advantage AS.26464	33
BM6S11 26465	ILSA.BM6S11 AS::2_Series_Active_Tourer 218i Luxury Line AS.26465	33
BM6S11 26465	ILSA.BM6S11 ILSA::2_серия 218i Active Tourer Advantage AS.26465	33
BM6S11 26466	ILSA.BM6S11 AS::2_Series_Active_Tourer 218i M Sport AS.26466	33
BM6S11 26466	ILSA.BM6S11 ILSA::2_серия 218i Active Tourer Advantage AS.26466	33
BM7C41 1935	ILSA.BM7C41 AS::7_Series 730d xDrive AS.1935	138
BM7C41 1935	ILSA.BM7C41 ILSA::7_серия 730d xDrive AS.1935	138
BM7C41 30759	ILSA.BM7C41 AS::7_Series 730d xDrive AS.30759	138
BM7C41 30759	ILSA.BM7C41 ILSA::7_серия 730d xDrive AS.30759	138
BM7C61 20133	ILSA.BM7C61 AS::7_Series 740d xDrive AS.20133	19
BM7C61 20133	ILSA.BM7C61 ILSA::7_серия 740d xDrive AS.20133	19
BM7C61 30760	ILSA.BM7C61 AS::7_Series 740d xDrive AS.30760	19
BM7C61 30760	ILSA.BM7C61 ILSA::7_серия 740d xDrive AS.30760	19
BM7G61 1941	ILSA.BM7G61 AS::7_Series 730Ld xDrive AS.1941	48
BM7G61 1941	ILSA.BM7G61 ILSA::7_серия 730Ld xDrive AS.1941	48
BM7G61 30766	ILSA.BM7G61 AS::7_Series 730Ld xDrive AS.30766	48
BM7G61 30766	ILSA.BM7G61 ILSA::7_серия 730Ld xDrive AS.30766	48
BM7G81 20134	ILSA.BM7G81 AS::7_Series 740Ld xDrive AS.20134	26
BM7G81 20134	ILSA.BM7G81 ILSA::7_серия 740Ld xDrive AS.20134	26
BM7G81 30767	ILSA.BM7G81 AS::7_Series 740Ld xDrive AS.30767	26
BM7G81 30767	ILSA.BM7G81 ILSA::7_серия 740Ld xDrive AS.30767	26
BM8C79.A7 27256	ILSA.BM8C79.A7 AS::3_Series 320d M Sport AS.27256	116
BM8C79.A7 27256	ILSA.BM8C79.A7 ILSA::3_серия 320d M Sport AS.27256	116
BM8C79.A7 29794	ILSA.BM8C79.A7 AS::3_Series 320d M Sport AS.29794	116
BM8C79.A7 29794	ILSA.BM8C79.A7 ILSA::3_серия 320d M Sport AS.29794	116
BM8C99.A7 1803	ILSA.BM8C99.A7 AS::3_Series 320d xDrive Sport Line AS.1803	164
BM8C99.A7 1803	ILSA.BM8C99.A7 ILSA::3_серия 320d xDrive Sport Line AS.1803	164
BM8C99.A7 29083	ILSA.BM8C99.A7 AS::3_Series 320d xDrive Sport Line AS.29083	164
BM8C99.A7 29083	ILSA.BM8C99.A7 ILSA::3_серия 320d xDrive Sport Line AS.29083	164
BM8C99.B7 1802	ILSA.BM8C99.B7 AS::3_Series 320d xDrive Luxury Line AS.1802	57
BM8C99.B7 1802	ILSA.BM8C99.B7 ILSA::3_серия 320d xDrive Luxury Line AS.1802	57
BM8C99.B7 29798	ILSA.BM8C99.B7 AS::3_Series 320d xDrive Luxury Line AS.29798	57
BM8C99.B7 29798	ILSA.BM8C99.B7 ILSA::3_серия 320d xDrive Luxury Line AS.29798	57
BMCR61 29338	ILSA.BMCR61 AS::X5 xDrive40i AS.29338	44
BMCR61 29338	ILSA.BMCR61 ILSA::X5 xDrive40i AS.29338	44
BMCR61 29340	ILSA.BMCR61 AS::X5 xDrive40i AS.29340	44
BMCR61 29340	ILSA.BMCR61 ILSA::X5 xDrive40i AS.29340	44
BMCV61 2017	ILSA.BMCV61 AS::X5 xDrive30d AS.2017	287
BMCV61 2017	ILSA.BMCV61 ILSA::X5 xDrive30d AS.2017	287
BMCV61 29337	ILSA.BMCV61 AS::X5 xDrive30d AS.29337	287
BMCV61 29337	ILSA.BMCV61 ILSA::X5 xDrive30d AS.29337	287
BMCV61 29350	ILSA.BMCV61 AS::X5 xDrive30d AS.29350	287
BMCV61 29350	ILSA.BMCV61 ILSA::X5 xDrive30d AS.29350	287
BMHS99.A7 25164	ILSA.BMHS99.A7 AS::X1 xDrive20i Advantage  AS.25164	14
BMHS99.A7 25164	ILSA.BMHS99.A7 ILSA::X1 xDrive20i Advantage AS.25164	14
BMHS99.A7 28548	ILSA.BMHS99.A7 AS::X1 xDrive20i Advantage AS.28548	14
BMHS99.A7 28548	ILSA.BMHS99.A7 ILSA::X1 xDrive20i Advantage AS.28548	14
BMHT99.A7 25172	ILSA.BMHT99.A7 AS::X1 xDrive18d Advantage AS.25172	92
BMHT99.A7 25172	ILSA.BMHT99.A7 ILSA::X1 xDrive18d Advantage AS.25172	92
BMHT99.A7 28550	ILSA.BMHT99.A7 AS::X1 xDrive18d Advantage AS.28550	92
BMHT99.A7 28550	ILSA.BMHT99.A7 ILSA::X1 xDrive18d Advantage AS.28550	92
BMHT99.B7 25173	ILSA.BMHT99.B7 AS::X1 xDrive18d Sport Line AS.25173	134
BMHT99.B7 25173	ILSA.BMHT99.B7 ILSA::X1 xDrive18d Sport Line AS.25173	134
BMHT99.B7 28551	ILSA.BMHT99.B7 AS::X1 xDrive18d Sport Line AS.28551	134
BMHT99.B7 28551	ILSA.BMHT99.B7 ILSA::X1 xDrive18d Sport Line AS.28551	134
BMJA11 1862	ILSA.BMJA11 AS::5_Series 520i AS.1862	82
BMJA11 1862	ILSA.BMJA11 ILSA::5_серия 520i AS.1862	82
BMJA11 26468	ILSA.BMJA11 AS::5_Series 520i AS.26468	82
BMJA11 26468	ILSA.BMJA11 ILSA::5_серия 520i AS.26468	82
BMJG59.A7 25164	ILSA.BMJG59.A7 AS::X1 xDrive20i Advantage  AS.25164	77
BMJG59.A7 25164	ILSA.BMJG59.A7 ILSA::X1 xDrive20i Advantage AS.25164	77
BMJG59.A7 28548	ILSA.BMJG59.A7 AS::X1 xDrive20i Advantage AS.28548	77
BMJG59.A7 28548	ILSA.BMJG59.A7 ILSA::X1 xDrive20i Advantage AS.28548	77
BMJG59.B7 25167	ILSA.BMJG59.B7 AS::X1 xDrive20i M Sport  AS.25167	111
BMJG59.B7 25167	ILSA.BMJG59.B7 ILSA::X1 xDrive20i M Sport AS.25167	111
BMJG59.B7 28549	ILSA.BMJG59.B7 AS::X1 xDrive20i M Sport AS.28549	111
BMJG59.B7 28549	ILSA.BMJG59.B7 ILSA::X1 xDrive20i M Sport AS.28549	111
BMJU21 29343	ILSA.BMJU21 AS::X5 xDrive50i AS.29343	19
BMJU21 29343	ILSA.BMJU21 ILSA::X5 xDrive50i AS.29343	19
BMJU21 29345	ILSA.BMJU21 AS::X5 xDrive50i AS.29345	19
BMJU21 29345	ILSA.BMJU21 ILSA::X5 xDrive50i AS.29345	19
BMJV21 27742	ILSA.BMJV21 AS::6_Series_Gran_Tourism 630i GT AS.27742	14
BMJV21 27742	ILSA.BMJV21 ILSA::6_серия 630i Gran Turismo AS.27742	14
BMJV21 28948	ILSA.BMJV21 AS::6_Series_Gran_Tourism 630i  AS.28948	14
BMJV21 28948	ILSA.BMJV21 ILSA::6_серия 630i Gran Turismo AS.28948	14
BMJW81 27744	ILSA.BMJW81 AS::6_Series_Gran_Tourism 630d xDrive GT AS.27744	224
BMJW81 27744	ILSA.BMJW81 ILSA::6_серия 630d xDrive Gran Turismo AS.27744	224
BMJW81 28950	ILSA.BMJW81 AS::6_Series_Gran_Tourism 630d xDrive AS.28950	224
BMJW81 28950	ILSA.BMJW81 ILSA::6_серия 630d xDrive Gran Turismo AS.28950	224
BMJX61 27742	ILSA.BMJX61 AS::6_Series_Gran_Tourism 630i GT AS.27742	13
BMJX61 27742	ILSA.BMJX61 ILSA::6_серия 630i Gran Turismo AS.27742	13
BMJX61 28948	ILSA.BMJX61 AS::6_Series_Gran_Tourism 630i  AS.28948	13
BMJX61 28948	ILSA.BMJX61 ILSA::6_серия 630i Gran Turismo AS.28948	13
BMKJ39.A7 1979	ILSA.BMKJ39.A7 AS::X3 xDrive20d URBAN AS.1979	85
BMKJ39.A7 1979	ILSA.BMKJ39.A7 ILSA::X3 xDrive20d Urban AS.1979	85
BMKJ39.A7 28471	ILSA.BMKJ39.A7 AS::X3 xDrive 20d Urban AS.28471	85
BMKJ39.A7 28471	ILSA.BMKJ39.A7 ILSA::X3 xDrive20d Urban AS.28471	85
BMKJ39.C7 1980	ILSA.BMKJ39.C7 AS::X3 xDrive20d X line AS.1980	95
BMKJ39.C7 1980	ILSA.BMKJ39.C7 ILSA::X3 xDrive20d xLine AS.1980	95
BMKJ39.C7 28473	ILSA.BMKJ39.C7 AS::X3 xDrive 20d xLine AS.28473	95
BMKJ39.C7 28473	ILSA.BMKJ39.C7 ILSA::X3 xDrive20d xLine AS.28473	95
BMKJ59.A7 1984	ILSA.BMKJ59.A7 AS::X3 xDrive20i Urban AS.1984	88
BMKJ59.A7 1984	ILSA.BMKJ59.A7 ILSA::X3 xDrive20i Urban AS.1984	88
BMKJ59.A7 28553	ILSA.BMKJ59.A7 AS::X3 xDrive 20i Urban AS.28553	88
BMKJ59.A7 28553	ILSA.BMKJ59.A7 ILSA::X3 xDrive20i Urban AS.28553	88
BMKS41 2017	ILSA.BMKS41 AS::X5 xDrive30d AS.2017	4
BMKS41 2017	ILSA.BMKS41 ILSA::X5 xDrive30d AS.2017	4
BMKS41 29337	ILSA.BMKS41 AS::X5 xDrive30d AS.29337	4
BMKS41 29337	ILSA.BMKS41 ILSA::X5 xDrive30d AS.29337	4
BMKS41 29350	ILSA.BMKS41 AS::X5 xDrive30d AS.29350	4
BMKS41 29350	ILSA.BMKS41 ILSA::X5 xDrive30d AS.29350	4
BMKS49.D7 2014	ILSA.BMKS49.D7 AS::X5 xDrive30d M Sport AS.2014	258
BMKS49.D7 2014	ILSA.BMKS49.D7 ILSA::X5 xDrive30d M Sport AS.2014	258
BMKS49.D7 29352	ILSA.BMKS49.D7 AS::X5 xDrive30d M Sport AS.29352	258
BMKS49.D7 29352	ILSA.BMKS49.D7 ILSA::X5 xDrive30d M Sport AS.29352	258
BMTR51 1986	ILSA.BMTR51 AS::X3 xDrive20i AS.1986	214
BMTR51 1986	ILSA.BMTR51 ILSA::X3 xDrive20i AS.1986	214
BMTR51 27268	ILSA.BMTR51 AS::X3 xDrive 20i AS.27268	214
