id	text	count
1	No.	58
2	Dr.	26
3	Yeah.	26
4	What?	20
5	Okay.	17
6	Sorry.	17
7	House.	14
8	Yes.	14
9	Thank you.	13
10	Fine.	13
11	I'm sorry.	13
12	Why?	12
13	I don't know.	11
14	I know.	11
15	Hey.	10
16	So.	9
17	You're right.	9
18	Uh.	7
19	Wait.	7
20	It's okay.	7
21	I just.	7
22	But.	7
23	Come on.	7
24	Cool.	6
25	I have no idea.	6
26	Hi.	6
27	Mm-Hmm.	6
28	I.	6
29	I'm fine.	6
30	Oh.	6
31	Nothing.	6
32	Okay?	5
33	Oh, my God.	5
34	Sure.	5
35	Really?	5
36	Shut up.	5
37	House?	5
38	Good.	5
39	Great.	5
40	C.	5
41	Admit it.	5
42	Ah.	5
43	Adams.	5
44	What is it?	5
45	What are you doing?	5
46	Um.	5
47	Thanks.	5
48	There she is.	4
49	There.	4
50	Well.	4
51	All right.	4
52	D.	4
53	Congratulations.	4
54	Damn it.	4
55	Everybody lies.	4
56	Don't.	4
57	Huh.	4
58	Right.	4
59	S.	4
60	See?	4
61	R.	4
62	Seriously?	4
63	Oh, no.	4
64	Interesting.	4
65	I'm so sorry.	3
66	It's unlikely.	3
67	I'll do it.	3
68	I'll take Taub.	3
69	I was wrong.	3
70	now.	3
71	Ohh.	3
72	O.	3
73	Park.	3
74	Nope.	3
75	Mm.	3
76	My wife.	3
77	Please continue.	3
78	Please.	3
79	Hey, House.	3
80	I can't.	3
81	Excuse me?	3
82	Foreman.	3
83	Go.	3
84	Here.	3
85	Good point.	3
86	Got it.	3
87	Come in.	3
88	Absolutely.	3
89	And.	3
90	What's happening?	3
91	What's he saying?	3
92	What explosion?	3
93	What were you thinking?	3
94	Where?	3
95	Where are you going?	3
96	Stop.	3
97	You're off the case.	3
98	You're an ass.	3
99	Wow.	3
100	Wills to recovery.	2
101	You win.	2
102	You're an idiot.	2
103	You're fine.	2
104	You're fired.	2
105	You were right.	2
106	What's the matter?	2
107	You're late.	2
108	I, um.	2
109	You're lying.	2
110	You're wrong.	2
111	T.	2
112	Take him out.	2
113	The patient had low opening pressure on his LP.	2
114	Unique situation.	2
115	U.	2
116	Three.	2
117	The patient.	2
118	That's ridiculous.	2
119	When?	2
120	What's wrong with me?	2
121	Why are you here?	2
122	Why is she here?	2
123	Vascular clamp.	2
124	What happened?	2
125	Well?	2
126	Well done.	2
127	Wait a minute.	2
128	What did he say?	2
129	Uh-huh.	2
130	Unless.	2
131	Up high.	2
