id	text	count
1	Like an idiot, I went out with my girlfriends to pretend I have a life, when all I did was flirt with guys who'd have no interest in a mom, miss the baby I couldn't wait to get rid of, and then get yelled at by my mom for staying out too late.	243
2	you're still on my mind you're still on my mind I can't see you but I know you're here I know you're here I know you're here I'm not lost just looking for the prince I'm taking it one step at a time I'm glad you changed your mind.	230
3	If I were to exonerate him, condone his completely reckless, immature, almost misanthropic behavior, I would essentially be sending a message to all the other doctors in this hospital that it's okay to act that way and-- Sorry.	227
4	Telecast, we expect an electric atmosphere in the arena and a sellout crowd of about 10,000 for Rubio versus Santos, two great fighters with illustrious careers who might have been expected to meet a long time ago.	214
5	How could I comprehend that you're too despised to keep them from having the same name, too overwhelmed to remember your own calendar, and too vain to admit that at this stage, you don't matter to either baby.	209
6	It came from a little bastard of a bacterium whose crap can cause chest pain, respiratory distress, skin ulcers, the growth of pseudomembrane across the airway, and, in very rare cases, hallucinations.	201
7	I sure hope this Alzheimer's drug trial is worth a lot to this hospital, 'cause we're wasting a crap-load of time and manpower just to let this guy watch his mind shrivel and keep his wife miserable.	199
8	Because for some patients the diagnosis of anxiety disorder can actually increase anxiety, which is also why I told him he had a minor respiratory infection that was easily curable by the medication.	199
9	But let me be clear-- you mouth off to one guard, we catch you with a single cafeteria tray in your cell, you break any rules I don't even remember, you can park your ass here for four more months.	197
10	Because he sees insecurity, and when House senses weakness, he pounces, and because his insecurity is the fact that other people can have faith and don't have the obsessive need for physical proof.	197
11	No, you're right-- I really should roll the dice and hope for a pair that don't ruin my life the way that my mom-- get your hands off my stuff! The stuff might tell us more about why you're sick.	195
12	Because you're a smart, old-money, trust-fund girl who took this job because your liberal ideology makes you wanna make a difference, but you're already getting bored, and this is interesting.	192
13	The fact that that would-be widow came in just in time to sob all over your soft, mushy heart and the fact that her husband's gonna live does not change whether or not I did the right thing.	190
14	You knew it was encephalitis, but you waited for me to say it because then with my ego boosted, you thought I'd be in the mood to take off your monitor because I'd think I could control you.	190
15	Can you dispute the possibility that, had you visited the patient sooner, maybe talked to the wife, been directed to one of the students, that this case might have ended very differently?	187
16	Bob Harris, get on up here with that beautiful family of yours! Bob Harris, folks! Bob, your community activism, charity work, and character represent the finest Cedarville has to offer.	186
17	Working in prison, you learned criminals rarely target random strangers, and you've got more money than you know what to do with, so anything that seems different and fun's worth trying.	186
18	I don't think stockpiling weapons is the most reasoned response, but, given what I've seen at Bloomingdale's on Black Friday, I wouldn't say it rises to the level of mental illness.	181
19	Given what's happened, it's understandable that your opinion would color your testimony, but I just want to know what you said, what you did, and what you were thinking at the time.	181
20	Did you and the defendant spend the evening of October 8th watching the Devils game on TV, or did you just read about the game in the Chronicle while concocting this false alibi?	178
21	If we increase the steroids, then either death comes slower, which means we were too late with the GAD, or death comes faster, which means we were too stupid with the infection.	177
22	So about the inhaler for my asthma, I was-- Sorry! Hospital policy specifically prohibits me from giving meds to unrelated homeless people pretending to be father and daughter.	176
23	Morning has broken like the first morning blackbird has spoken like the first bird praise for the singing praise for the morning praise for them springing fresh from the word 	175
24	Okay, and I'm sure you're a nice person, but I just moved from Atlanta, and it's my first time at this gym, so definitely don't know who this Taub guy is, but I already agree.	175
25	The new Dean of Medicine has an ethical obligation to come in with a completely open mind about all employees, thus letting me blithely run roughshod for at least four weeks.	174
26	You're stepping to a guy who outweighs you by 50 pounds, and he was carrying a cane, which, while prison-approved, would still cause some issues if inserted into your colon.	173
27	He comes in with 11 straight knockout wins and we saw how a power puncher with a left hook was able to cut Rubio over the right eye in the tenth round of that last fight.	170
28	Foreman, since telling people how to do their job is your job, but when your less-than-competent administration of this hospital affects what's written on my whiteboard.	169
29	Though I can't speak to the details of the case while my disciplinary hearing is pending, I want you to know that I have completed voluntary sexual harassment training.	168
30	All this time I've been blind to this waking life now I see it everywhere 'cause I'm not lost just looking for the prince yeah and I'm taking it one day at a time Hey.	167
31	The guy who spilled a little DNA in her gene pool or the guy who's gonna be there day and night to pass on important values like not shtupping mommy after the divorce?	167
32	If you had actually been in the room, questioning the patient, you could read body language, you could ask follow-up questions, warn him of the costs of lying to you.	166
33	Right, like group homes, where you're packed in with as many messed-up delinquent kids as possible, foster parents who only take you in because you're a meal ticket.	165
34	And I lose my temper when someone suggests that a handful of pop-psych catch phrases can control our most seminal, intractable, and natural reaction to a dead child.	165
35	It's not that I was trying to prove that you're an idiot or anything, but lupus boy and I were at the beach this morning, and I noticed a rash on his left thigh.	161
36	I vouch for you to the cops, you take some parole-violating detour celebrating your freedom, justified, of course, by some absurd theory connecting it to donor.	160
37	Since an 18-year-old with organ donor on his license is not a cancer patient, I'm figuring the recipient is a lifetime member of the Wilson cares too much club.	160
38	Either your relationship just blows up like every other non-magical romance, or she stays with you but blames you for stripping all the meaning out of her life.	160
39	Which means I wouldn't be preparing for their visit this week by child locking all my cabinets, padding table corners, and getting rid of every single magazine.	160
