id	text	count
0	LandRover_Range_Rover	1000
1	LandRover_Discovery_Sport SE	272
2	Jaguar_F-Pace Prestige	224
3	LandRover_Range_Rover Vogue	204
4	LandRover_Range_Rover_Evoque SE	197
5	LandRover_Range_Rover_Sport SE	119
6	LandRover_Range_Rover_Sport HSE	115
7	LandRover_Range_Rover Vogue SE	114
8	LandRover_Discovery_5 HSE	100
9	Jaguar_E-Pace S	98
10	LandRover_Range_Rover HSE	83
11	LandRover_Range_Rover_Velar R-Dynamic S	77
12	LandRover_Range_Rover_Velar S	77
13	LandRover_Discovery_Sport HSE	74
14	LandRover_Range_Rover Autobiography	60
15	Jaguar_F-Pace R-Sport	57
16	LandRover_Range_Rover_Evoque Special Edition	32
17	LandRover_Discovery_5 SE	31
18	LandRover_Range_Rover_Sport HSE Dynamic	28
19	Jaguar_XF Prestige	26
20	Jaguar_I-Pace SE	26
21	Jaguar_I-Pace HSE	21
22	LandRover_Range_Rover_Velar Base	21
23	Jaguar_E-Pace R-Dynamic S	20
24	LandRover_Range_Rover_Evoque SE Dynamic	19
25	LandRover_Range_Rover_Velar R-Dynamic SE	17
26	Jaguar_XJ Portfolio	17
27	Jaguar_XF R-Sport	13
28	LandRover_Range_Rover_Velar R-Dynamic Base	13
29	LandRover_Range_Rover_Sport Autobiography Dynamic	13
30	Jaguar_XE R-Sport	12
31	Jaguar_F-Pace S	12
32	Jaguar_F-Type R-Dynamic	12
33	Jaguar_XE Landmark Edition	11
34	Jaguar_E-Pace First Edition	10
35	Jaguar_XF Pure	10
36	LandRover_Range_Rover_Velar SE	9
37	Jaguar_XJ Premium Luxury	8
38	LandRover_Discovery_5 HSE Luxury	8
39	Jaguar_XJ Luxury	8
40	Jaguar_F-Pace Pure	8
41	Jaguar_F-Type 380 PS (SP0)	7
42	Jaguar_XE Pure	7
43	LandRover_Discovery_Sport Pure	7
44	LandRover_Range_Rover_Velar R-Dynamic HSE	7
45	Jaguar_F-Pace Portfolio	6
46	Jaguar_I-Pace First Edition	5
47	LandRover_Discovery_5 S	5
48	LandRover_Discovery_Sport HSE Luxury	5
49	Jaguar_I-Pace S	4
50	Jaguar_E-Pace R-Dynamic SE	4
51	Jaguar_F-Type 340 PS (SP0)	3
52	Jaguar_E-Pace R-Dynamic HSE	3
53	Jaguar_XE Prestige	3
54	Jaguar_F-Type 400 Sport	3
55	LandRover_Range_Rover SVAutobiography Dynamic	2
56	LandRover_Range_Rover_Sport S	2
57	LandRover_Range_Rover_Sport SVR	2
58	Jaguar_F-Type R	2
59	Jaguar_F-Type 300 PS (SP0)	2
60	Jaguar_E-Pace HSE	1
61	Jaguar_E-Pace SE	1
62	Jaguar_F-Type S	1
63	Jaguar_XE Portfolio	1
64	Jaguar_XE S	1
65	Jaguar_XJ Autobiography	1
66	Jaguar_XJ XJ 50	1
67	LandRover_Range_Rover SVAutobiography	1
68	LandRover_Range_Rover_Evoque HSE	1
69	LandRover_Range_Rover_Evoque Pure	1
