id	text	count
5161	Discovery_Sport  HSE  Luxury	35
5163	Discovery_Sport  HSE	35
5221	Range_Rover_Evoque  Dynamic  HSE	35
5222	Range_Rover_Evoque  Dynamic  HSE	35
5225	Range_Rover_Evoque  HSE	35
20507	Range_Rover_Evoque  Dynamic  HSE	35
25815	Discovery  HSE	35
25816	Discovery  HSE  Luxury	35
25820	Discovery  HSE	35
25821	Discovery  HSE  Luxury	35
26523	Range_Rover_Evoque  HSE	35
26524	Range_Rover_Evoque  Dynamic  HSE	35
26530	Range_Rover_Evoque  Dynamic  HSE	35
26532	Range_Rover_Evoque  Dynamic  HSE	35
26538	Range_Rover_Evoque  Dynamic  HSE	35
26541	Discovery_Sport  HSE	35
26543	Discovery_Sport  HSE	35
26544	Discovery_Sport  HSE  Luxury	35
26545	Discovery_Sport  HSE	35
26546	Discovery_Sport  HSE  Luxury	35
26548	Discovery_Sport  HSE	35
26549	Discovery_Sport  HSE  Luxury	35
26593	Velar  R-Dynamic   HSE	35
26596	Velar  R-Dynamic   HSE	35
27546	Range_Rover_Sport  HSE  TDV6	35
27547	Range_Rover_Sport  HSE  SDV6	35
27549	Range_Rover_Sport  Dynamic  HSE  SDV8	35
27555	Range_Rover_Sport  Dynamic  HSE 	35
27557	Range_Rover_Sport  Dynamic  HSE 	35
28769	Discovery  HSE	35
28770	Discovery  HSE  Luxury	35
29259	Range_Rover  HSE  Supercharged	35
29260	Range_Rover  HSE  TDV6	35
29846	Velar  R-Dynamic  S-C    HSE	35
29847	Range_Rover_Sport  Dynamic  HSE  Si4  Pnev	35
29845	Velar  R-Dynamic  SE   S-C 	34
29848	Range_Rover  Vogue  SE   S-C	34
29272	Range_Rover  Vogue  L  SE	34
29273	Range_Rover  Vogue  SE  SDV8	34
29274	Range_Rover  Vogue  SE  Si4	34
29275	Range_Rover  Vogue  SE  TDV6	34
29277	Range_Rover  Vogue  SE  Supercharged 	34
29278	Range_Rover  Vogue  SE 	34
29842	Velar  SE    S-C	34
28768	Discovery  SE	34
27554	Range_Rover_Sport   SE	34
27552	Range_Rover_Sport  SE  Si4	34
27545	Range_Rover_Sport  SE  TDV6	34
26595	Velar  R-Dynamic  SE 	34
26592	Velar  R-Dynamic  SE 	34
26582	Velar  SE 	34
26585	Velar  SE 	34
26587	Velar  SE 	34
26588	Velar  SE 	34
26547	Discovery_Sport  SE	34
26542	Discovery_Sport  SE	34
26540	Discovery_Sport  SE	34
26534	Range_Rover_Evoque  Dynamic  SE	34
26526	Range_Rover_Evoque  Dynamic  SE	34
26528	Range_Rover_Evoque  Dynamic  SE	34
25819	Discovery  SE	34
25814	Discovery  SE	34
25549	Range_Rover_Evoque  SE	34
5271	Range_Rover_Evoque  Dynamic  SE	34
5165	Discovery_Sport  SE	34
5270	Range_Rover_Evoque  Dynamic  SE	34
5272	Range_Rover_Evoque  Dynamic  SE	34
5275	Range_Rover_Evoque  SE	34
5276	Range_Rover_Evoque  SE	34
26165	Velar  R-Dynamic 	25
26166	Velar  R-Dynamic 	25
26167	Velar  R-Dynamic 	25
26208	Velar  R-Dynamic  S	25
26209	Velar  R-Dynamic  SE	25
26211	Velar  R-Dynamic  SE	25
26212	Velar  R-Dynamic  HSE	25
26213	Velar  R-Dynamic  S	25
26214	Velar  R-Dynamic  SE	25
26215	Velar  R-Dynamic  HSE	25
26218	Velar  R-Dynamic  S	25
26219	Velar  R-Dynamic  SE	25
26589	Velar  R-Dynamic  S 	25
26590	Velar  R-Dynamic 	25
26592	Velar  R-Dynamic  SE 	25
26593	Velar  R-Dynamic   HSE	25
26591	Velar  R-Dynamic  S 	25
