id	text	count
27548	Range_Rover_Sport Autobiography Dynamic SDV6	26
27550	Range_Rover_Sport Autobiography Dynamic SDV8	26
29843	Velar V6 S/C 3,0 R-Dynamic Base	25
29846	Velar V6 S/C 3,0 R-Dynamic HSE	24
29849	Range_Rover Autobiography L Si4 PHEV	24
29277	Range_Rover Vogue SE V6 Supercharged	24
27558	Range_Rover_Sport Autobiography Dynamic V8	24
27556	Range_Rover_Sport Autobiography Dynamic V6	24
29845	Velar V6 S/C 3,0 R-Dynamic SE	23
29844	Velar V6 S/C 3,0 R-Dynamic S	22
29262	Range_Rover SVAutobiography L SDV8	22
29253	Range_Rover Autobiography Dynamic	21
29256	Range_Rover Autobiography L SDV8	20
29847	Range_Rover_Sport HSE Dynamic Si4 Pnev	20
29254	Range_Rover Autobiography L V8	18
29255	Range_Rover Autobiography SDV8	18
26593	Velar R-Dynamic HSE P300	18
26592	Velar R-Dynamic SE P300	17
29261	Range_Rover SVAutobiography L	17
29860	XF R-Sport 300 Sport	17
29856	XE Landmark Edition	16
29258	Range_Rover Autobiography V8	16
29259	Range_Rover HSE Supercharged	16
29854	XE Landmark Edition	16
26591	Velar R-Dynamic S P300	16
26589	Velar R-Dynamic S D240	16
26331	F-Type F-Type R-Dynamic	16
26333	F-Type F-Type R-Dynamic	16
26685	XJ Premium Luxury L	16
26686	XJ Premium Luxury L	16
27549	Range_Rover_Sport HSE Dynamic SDV8	16
26023	F-Type F-Type R-Dynamic	16
26025	F-Type F-Type R-Dynamic	16
26027	F-Type F-Type R-Dynamic	16
26031	F-Type F-Type R-Dynamic	16
26033	F-Type F-Type R-Dynamic	16
26035	F-Type F-Type R-Dynamic	16
26212	Velar R-Dynamic HSE240	16
26215	Velar R-Dynamic HSE300	16
26219	Velar R-Dynamic SE250	15
26211	Velar R-Dynamic SE240	15
26209	Velar R-Dynamic SE180	15
28771	Range_Rover_Evoque Special Edition	15
26688	XJ Autobiography L	15
26689	XJ Autobiography L	15
26214	Velar R-Dynamic SE300	15
29848	Range_Rover Vogue SE V6 S/C	15
29840	Velar V6 S/C 3,0 Base	15
29835	Discovery_Sport Special Edition	15
29836	Range_Rover_Evoque Special Edition	15
29839	Velar R-Dynamic P300	14
26590	Velar R-Dynamic P250	14
26680	XJ Premium Luxury	14
27557	Range_Rover_Sport HSE Dynamic V8	14
27555	Range_Rover_Sport HSE Dynamic V6	14
26208	Velar R-Dynamic S180	14
26213	Velar R-Dynamic S300	14
26218	Velar R-Dynamic S250	14
26165	Velar R-Dynamic D180	14
26166	Velar R-Dynamic D240	14
26167	Velar R-Dynamic D300	14
26531	Range_Rover_Evoque Autobiography	13
29842	Velar V6 S/C 3,0 SE	13
29275	Range_Rover Vogue SE TDV6	13
29568	I-Pace First Edition	13
29273	Range_Rover Vogue SE SDV8	13
28877	E-Pace R-Dynamic HSE	13
28873	E-Pace R-Dynamic HSE	13
28863	E-Pace R-Dynamic HSE	13
28867	E-Pace R-Dynamic HSE	13
29871	E-Pace R-Dynamic HSE	13
29870	E-Pace R-Dynamic SE	12
28866	E-Pace R-Dynamic SE	12
28862	E-Pace R-Dynamic SE	12
28856	E-Pace R-Dynamic SE	12
28872	E-Pace R-Dynamic SE	12
28876	E-Pace R-Dynamic SE	12
29274	Range_Rover Vogue SE Si4	12
29841	Velar V6 S/C 3,0 S	12
29278	Range_Rover Vogue SE V8	11
28875	E-Pace R-Dynamic S	11
28871	E-Pace R-Dynamic S	11
28855	E-Pace R-Dynamic S	11
28861	E-Pace R-Dynamic S	11
28865	E-Pace R-Dynamic S	11
29869	E-Pace R-Dynamic S	11
26532	Range_Rover_Evoque HSE Dynamic	11
26538	Range_Rover_Evoque HSE Dynamic	11
26530	Range_Rover_Evoque HSE Dynamic	11
26524	Range_Rover_Evoque HSE Dynamic	11
26687	XJ Portfolio L	11
20507	Range_Rover_Evoque HSE Dynamic	11
5221	Range_Rover_Evoque HSE Dynamic	11
5222	Range_Rover_Evoque HSE Dynamic	11
5161	Discovery_Sport HSE Luxury	10
5270	Range_Rover_Evoque SE Dynamic	10
5271	Range_Rover_Evoque SE Dynamic	10
5272	Range_Rover_Evoque SE Dynamic	10
25058	F-Type F-Type SVR	10
25821	Discovery HSE Luxury	10
25816	Discovery HSE Luxury	10
26030	F-Type F-Type SVR	10
26526	Range_Rover_Evoque SE Dynamic	10
26528	Range_Rover_Evoque SE Dynamic	10
26534	Range_Rover_Evoque SE Dynamic	10
26544	Discovery_Sport HSE Luxury	10
26546	Discovery_Sport HSE Luxury	10
26549	Discovery_Sport HSE Luxury	10
29267	Range_Rover Vogue SDV8	10
29272	Range_Rover Vogue SE L	10
29857	XE 300 Sport	9
26681	XJ Portfolio	9
26682	XJ Portfolio	9
26630	F-Pace Portfolio	9
26196	F-Pace Portfolio	9
26190	XF Prestige	8
26194	F-Pace Prestige	8
25267	F-Pace Prestige	8
20489	XF Prestige	8
4120	F-Type F-Type R	8
4121	F-Type F-Type R	8
26684	XJ Luxury L	8
28851	E-Pace Standard	8
28852	E-Pace Standard	8
27546	Range_Rover_Sport HSE TDV6	8
27547	Range_Rover_Sport HSE SDV6	8
29858	XF Prestige	8
29862	F-Pace Prestige	8
29865	E-Pace Standard	8
29850	Range_Rover SV Coupe	8
28857	E-Pace Standard	8
29260	Range_Rover HSE TDV6	8
29855	XE R-Sport	7
29265	Range_Rover Vogue L	7
29266	Range_Rover Vogue L	7
29863	F-Pace R-Sport	7
29859	XF R-Sport	7
27545	Range_Rover_Sport SE TDV6	7
27364	XF R-Sport	7
26628	XE R-Sport	7
26629	F-Pace R-Sport	7
26683	XJ R-Sport	7
26582	Velar SE D300	7
26585	Velar SE P250	7
26587	Velar SE P300	7
20500	XE R-Sport	7
26195	F-Pace R-Sport	7
26330	F-Type F-Type	6
26026	F-Type F-Type	6
26034	F-Type F-Type	6
26032	F-Type F-Type	6
26024	F-Type F-Type	6
4128	F-Type F-Type	6
4129	F-Type F-Type	6
