id	text	count
LR5000340263	Range_Rover  SE  Vogue  TDV6	62
LR5000398742	Range_Rover  SE  Vogue  TDV6	62
LR5000314616	Velar  SE  S-C  R-Dynamic	61
LR5000398750	Range_Rover  SE  <>LWB<>  Vogue  SDV8	59
LR5000398756	Range_Rover  SE  S-C  Vogue	58
LR5000398760	Range_Rover  SE  Vogue  Si4  PHEV	58
LR5000340281	Range_Rover  SE  Vogue  Si4  PHEV	58
LR5000340266	Range_Rover  SE  Vogue  SDV8	54
LR5000398747	Range_Rover  SE  Vogue  SDV8	54
LR5000389811	Range_Rover_Sport  SE  TDV6	49
LR5000336367	Discovery  SE  TDV6	49
LR5000336368	Discovery  SE  TDV6	49
LR5000343511	Range_Rover_Sport  SE  TDV6	49
LR5000370573	Velar  SE  R-Dynamic	48
LR5000314578	Velar  SE  R-Dynamic	48
LR5000314589	Velar  HSE  R-Dynamic  SDV6	46
LR5000350810	Range_Rover_Evoque  SE  Dynamic  <>TD4<>	46
LR5000336380	Discovery  SE  S-C	45
LR5000389820	Range_Rover_Sport  S-C  <>DYN<>  HSE	45
LR5000415379	Range_Rover_Sport  SE  S-C	45
LR5000415380	Range_Rover_Sport  S-C  <>DYN<>  HSE	45
LR5000336371	Discovery  HSE  Luxury  TDV6	44
LR5000349690	Discovery_Sport  SE  <>TD4<>	43
LR5000350808	Range_Rover_Evoque  SE  <>TD4<>	43
LR5000400553	Discovery_Sport  SE  <>TD4<>	43
LR5000427470	Range_Rover_Evoque  SE  <>TD4<>	43
LR5000398740	Range_Rover  HSE  TDV6	42
LR5000389812	Range_Rover_Sport  HSE  TDV6	42
LR5000343513	Range_Rover_Sport  HSE  TDV6	42
LR5000336364	Discovery  HSE  TDV6	42
LR5000336365	Discovery  HSE  TDV6	42
LR5000340261	Range_Rover  HSE  TDV6	42
LR5000336396	Discovery  SE  Si4	41
LR5000343519	Range_Rover_Sport  <>DYN<>  HSE  SDV8	41
LR5000350819	Range_Rover_Evoque  SE  Si4	41
LR5000389817	Range_Rover_Sport  <>DYN<>  HSE  SDV8	41
LR5000370572	Velar  HSE  R-Dynamic	41
LR5000314607	Velar  HSE  R-Dynamic	41
LR5000314579	Velar  HSE  R-Dynamic	41
LR5000293885	Range_Rover_Evoque  SE  Si4	41
LR5000427476	Range_Rover_Evoque  SE  Si4	41
LR5000400557	Discovery_Sport  HSE  Luxury  <>TD4<>	38
LR5000336377	Discovery  S-C  HSE	38
LR5000350825	Range_Rover_Evoque  SE  Dynamic  <>SD4<>	37
LR5000389810	Range_Rover_Sport  TDV6  S	37
LR5000314584	Velar  SE  SDV6	37
LR5000314596	Velar  R-Dynamic  S	36
LR5000370599	Velar  R-Dynamic  S	36
LR5000400554	Discovery_Sport  HSE  <>TD4<>	36
LR5000400556	Discovery_Sport  HSE  <>TD4<>	36
LR5000351340	Discovery_Sport  HSE  <>TD4<>	36
LR5000370590	Velar  R-Dynamic  S	36
LR5000370574	Velar  R-Dynamic  S	36
LR5000449313	Velar  R-Dynamic  S	36
LR5000416278	Velar  R-Dynamic  S	36
LR5000449332	Velar  R-Dynamic  S	36
LR5000449359	Velar  R-Dynamic  S	36
LR5000398729	Range_Rover  <>LWB<>  Vogue  TDV6	35
LR5000336393	Discovery  HSE  Si4	34
LR5000400552	Discovery_Sport  <>TD4<>  Pure  S	33
LR5000449330	Velar  SE	32
LR5000370575	Velar  SE	32
LR5000400564	Discovery_Sport  SE	32
LR5000314621	Velar  SE	32
LR5000398741	Range_Rover  Vogue  TDV6	30
LR5000389827	Range_Rover_Sport  HSE  SDV6	30
LR5000343538	Range_Rover_Sport  HSE  SDV6	30
LR5000340262	Range_Rover  Vogue  TDV6	30
LR5000400561	Discovery_Sport  HSE  <>SD4<>	27
LR5000400565	Discovery_Sport  HSE	25
LR5000398754	Range_Rover  S-C  <>LWB<>  Autobiography	24
LR5000398733	Range_Rover  <>LWB<>  Autobiography  Si4  PHEV	24
LR5000340275	Range_Rover  S-C  <>LWB<>  Autobiography	24
LR5000389821	Range_Rover_Sport  S-C  <>DYN<>  <>AB<>	23
LR5000398746	Range_Rover  Vogue  SDV8	22
LR5000400563	Discovery_Sport  Pure  S	22
LR5000340268	Range_Rover  Vogue  SDV8	22
LR5000314623	Velar  R-Dynamic  Base	21
LR5000314592	Velar  S	20
LR5000314573	Velar  S	20
Ja5000412213	E-PACE  R-Dynamic  S	20
Ja5000412220	E-PACE  R-Dynamic  S	20
Ja5000360521	E-PACE  R-Dynamic  S	20
Ja5000363362	E-PACE  R-Dynamic  S	20
Ja5000363366	E-PACE  R-Dynamic  S	20
LR5000314620	Velar  S	20
LR5000370576	Velar  S	20
LR5000370592	Velar  S	20
LR5000370602	Velar  S	20
LR5000416275	Velar  S	20
LR5000449360	Velar  S	20
LR5000449334	Velar  S	20
LR5000389818	Range_Rover_Sport  <>DYN<>  SDV8  <>AB<>	19
LR5000398757	Range_Rover  S-C  Autobiography	19
LR5000340251	Range_Rover  Autobiography  Si4  PHEV	19
Ja5000354884	XJ  S-C  Luxury  <>SWB<>  Premium	19
Ja5000419915	XJ  S-C  Luxury  <>SWB<>  Premium	19
Ja5000419917	XJ  S-C  Luxury  <>SWB<>	17
LR5000398762	Range_Rover  S-C  Dynamic  SVAutobiography	17
Ja5000354883	XJ  S-C  <>SWB<>  Portfolio	16
LR5000398748	Range_Rover  Autobiography  SDV8	15
LR5000389826	Range_Rover_Sport  <>DYN<>  SDV6  <>AB<>	15
LR5000389823	Range_Rover_Sport  S-C  SVR	14
Ja5000360517	E-PACE  S	13
Ja5000382770	F-PACE  S	13
Ja5000360508	E-PACE  S	13
Ja5000351857	XF  S	13
Ja5000301939	F-PACE  S	13
Ja5000412240	E-PACE  S	13
Ja5000412201	E-PACE  S	13
Ja5000412209	E-PACE  S	13
LR5000427473	Range_Rover_Evoque  <>TD4<>  Edition  Special	13
Ja5000412214	E-PACE  SE  R-Dynamic	12
Ja5000214113	XJ  Luxury  <>SWB<>	12
Ja5000360522	E-PACE  SE  R-Dynamic	12
Ja5000382772	F-PACE  Prestige	11
Ja5000403964	XF  Prestige	11
Ja5000403968	XF  Prestige	11
Ja5000403970	XF  Prestige	11
Ja5000265562	XF  Prestige	11
Ja5000301952	F-PACE  Prestige	11
Ja5000312352	F-PACE  Prestige	11
Ja5000351933	XE  Prestige	11
Ja5000354881	XJ  <>SWB<>  Portfolio	11
Ja5000312355	F-PACE  Prestige	11
Ja5000354888	XJ  S-C  <>LWB<>  Luxury	11
Ja5000382779	F-PACE  Prestige	11
Ja5000405973	F-PACE  Prestige	11
Ja5000419762	XJ  <>SWB<>  Portfolio	11
Ja5000416470	F-TYPE  R  <>PS<>  Coupe	9
Ja5000379186	I-PACE  SE  <>AUTO<>	8
Ja5000405972	F-PACE  R-Sport	7
Ja5000382777	F-PACE  R-Sport	7
Ja5000359106	F-PACE  R-Sport	7
Ja5000312353	F-PACE  R-Sport	7
Ja5000382780	F-PACE  R-Sport	7
Ja5000395082	XE  R-Sport	7
Ja5000408024	F-TYPE  <>PS<>  Coupe	7
Ja5000408032	F-TYPE  <>PS<>  Coupe	7
Ja5000410973	XE  R-Sport	7
Ja5000379188	I-PACE  <>AUTO<>  Edition  First	7
Ja5000269745	F-TYPE  R  Coupe	6
LR5000314619	Velar  Base	5
Ja5000412210	E-PACE  SE	5
Ja5000412202	E-PACE  SE	5
LR5000370603	Velar  Base	5
LR5000449357	Velar  Base	5
LR5000449333	Velar  Base	5
Ja5000405974	F-PACE  Pure	4
Ja5000273821	XE  Pure	4
Ja5000312351	F-PACE  Pure	4
Ja5000360515	E-PACE  Edition  First	4
Ja5000315797	XF  Pure	4
Ja5000382778	F-PACE  Portfolio	4
Ja5000379187	I-PACE  <>AUTO<>  HSE	4
Ja5000360516	E-PACE  Standard	2
Ja5000412200	E-PACE  Standard	2
