id	text	count
BM1R51	1_серия 118i Base 5dr	10
BM2R31	1_серия 118i Base 5dr	10
BM6S11	2_серия 218i Active Tourer Advantage	10
BM2H31	2_серия 218i Coupe	10
BM1J51	2_серия M2 Coupe	10
BM2U71	2_серия M2 Coupe Competition	10
BM2J71	2_серия M240i xDrive Coupe	10
Pe1PI4SYLCZQD0A0G0	2008 Active 1.2 PureTech 110hp 6AT	10
Pe1PI4SYMCZQD0A0F0	2008 Allure 1.2 PureTech 110hp 6AT	10
Pe1PI4SYMCZQD0A0G0	2008 Allure 1.2 PureTech 110hp 6AT	10
UAXB7GMD31	2206_Автобус 8+1 мест 2.7 5MT	10
UAXB7GMD51	2206_Автобус 9+1 мест 2.7 5MT	10
MiXR31	3_Door Cooper	10
MiXR51	3_Door Cooper S	10
MiXR91	3_Door John Cooper Works	10
BM8E31	3_серия 318i	10
BM8C51	3_серия 320d	10
BM5V51	3_серия 320d	10
BM8C79.A7	3_серия 320d M Sport	10
BM8C91	3_серия 320d xDrive	10
BM5V71	3_серия 320d xDrive	10
BM8C99.B7	3_серия 320d xDrive Luxury Line	10
BM8C99.A7	3_серия 320d xDrive Sport Line	10
BM8A11	3_серия 320i	10
BM8X31	3_серия 320i Gran Turismo	10
BM8A39.A7	3_серия 320i SE	10
BM8A51	3_серия 320i xDrive	10
BM8X51	3_серия 320i xDrive Gran Turismo	10
BM8A59.A7	3_серия 320i xDrive M Sport	10
BM8A59.B7	3_серия 320i xDrive SE	10
BM5R11	3_серия 330i	10
BM8X91	3_серия 330i xDrive Gran Turismo	10
Pe1PP8SYHKUMD0A0B0	3008 Active 1.6 THP 150hp 6AT	10
Pe1PP8SYHKUMD0A0C0	3008 Active 1.6 THP 150hp 6AT	10
Pe1PP8SYHKUMD0A0C2	3008 Active 1.6 THP 150hp 6AT	10
Pe1PP8SYHKBMD0A0B0	3008 Active 2.0 BlueHDi 150hp 6AT	10
Pe1PP8SYHKBMD0A0C0	3008 Active 2.0 BlueHDi 150hp 6AT	10
Pe1PP8SYPKUMD0A0B0	3008 Allure 1.6 THP 150hp 6AT	10
Pe1PP8SYPKUMD0A0C0	3008 Allure 1.6 THP 150hp 6AT	10
Pe1PP8SYPKUMD0A0C2	3008 Allure 1.6 THP 150hp 6AT	10
Pe1PP8SYPKBMD0A0B0	3008 Allure 2.0 BlueHDi 150hp 6AT	10
