id	text	count
LR5000398762	Range_Rover V8 5.0 S/C SVAutobiography Dynamic	34
LR5000398733	Range_Rover LWB Si4 2.0 PHEV Autobiography	30
Ja5000354884	XJ 3.0 S/C Premium Luxury AWD SWB	30
Ja5000419915	XJ 3.0 S/C Premium Luxury AWD SWB	30
Ja5000379188	I-PACE 400PS AWD AUTO First Edition	28
LR5000398754	Range_Rover LWB V8 5.0 S/C Autobiography	28
LR5000340275	Range_Rover LWB V8 5.0 S/C Autobiography	28
LR5000340251	Range_Rover Si4 2.0 PHEV Autobiography	26
Ja5000354883	XJ 3.0 S/C Portfolio AWD SWB	25
LR5000398757	Range_Rover V8 5.0 S/C Autobiography	24
LR5000400557	Discovery_Sport TD4 2.0 180PS HSE Luxury	24
LR5000314616	Velar V6 S/C 3.0 R-Dynamic SE	23
Ja5000360515	E-PACE 2.0 249PS First Edition	23
Ja5000382772	F-PACE 2.0D 180PS Prestige AWD	23
Ja5000382778	F-PACE 2.0 300PS Portfolio AWD	23
Ja5000382779	F-PACE 2.0D 240PS Prestige AWD	23
Ja5000312355	F-PACE 2.0D 240PS Prestige AWD	23
LR5000314623	Velar 2.0D 180 R-Dynamic Base	23
Ja5000403970	XF 2.0D 180PS Prestige AWD	23
Ja5000412214	E-PACE 2.0D 180PS R-Dynamic SE	23
LR5000427473	Range_Rover_Evoque TD4 150 Special Edition	23
Ja5000412220	E-PACE 2.0D 240PS R-Dynamic S	22
Ja5000416470	F-TYPE 5.0 550 PS Coupe R AWD	22
Ja5000405973	F-PACE 2.0 249PS Prestige AWD	22
LR5000314607	Velar 2.0P 300 R-Dynamic HSE	22
Ja5000419917	XJ 3.0 S/C Luxury AWD SWB	22
Ja5000412213	E-PACE 2.0D 180PS R-Dynamic S	22
LR5000314579	Velar 2.0D 240 R-Dynamic HSE	22
Ja5000351933	XE 2.0 250PS Prestige AWD	22
Ja5000354888	XJ 3.0 S/C Luxury AWD LWB	22
Ja5000382780	F-PACE 2.0D 240PS R-Sport AWD	22
Ja5000395082	XE 2.0D 180PS R-Sport AWD	22
Ja5000403964	XF 2.0 200PS Prestige RWD	22
Ja5000403968	XF 2.0 249PS Prestige AWD	22
Ja5000360522	E-PACE 2.0 249PS R-Dynamic SE	22
Ja5000363366	E-PACE 2.0D 240PS R-Dynamic S	22
LR5000370572	Velar 2.0D 240 R-Dynamic HSE	22
LR5000400552	Discovery_Sport TD4 2.0 150PS S (Pure)	22
LR5000398748	Range_Rover SDV8 4.4 Autobiography	22
LR5000398750	Range_Rover LWB SDV8 4.4 Vogue SE	21
LR5000398760	Range_Rover Si4 2.0 PHEV Vogue SE	21
LR5000370573	Velar 2.0D 240 R-Dynamic SE	21
LR5000340281	Range_Rover Si4 2.0 PHEV Vogue SE	21
Ja5000363362	E-PACE 2.0 300PS R-Dynamic S	21
Ja5000360521	E-PACE 2.0 249PS R-Dynamic S	21
Ja5000382777	F-PACE 2.0 300PS R-Sport AWD	21
Ja5000359106	F-PACE 2.0 300PS R-Sport AWD	21
LR5000314578	Velar 2.0D 240 R-Dynamic SE	21
Ja5000405972	F-PACE 2.0 249PS R-Sport AWD	21
Ja5000410973	XE 2.0 249PS R-Sport AWD	21
Ja5000408024	F-TYPE 3.0 380 PS Coupe AWD	20
Ja5000408032	F-TYPE 3.0 340 PS Coupe RWD	20
LR5000314596	Velar 2.0P 250 R-Dynamic S	20
LR5000370574	Velar 2.0D 240 R-Dynamic S	20
LR5000370590	Velar 2.0P 300 R-Dynamic S	20
LR5000370599	Velar 2.0D 180 R-Dynamic S	20
LR5000449313	Velar 2.0D 240 R-Dynamic S	20
